Categorias_code,Categorias_nome,Traducao
0,(vertigo) Paroymsal  Positional Vertigo,(vertigem) vertigem posicional paromisal
1,AIDS,SIDA
2,Acne,Acne
3,Alcoholic hepatitis,Hepatite alcoólica
4,Allergy,Alergia
5,Arthritis,Artrite
6,Bronchial Asthma,Asma brônquica
7,Cervical spondylosis,Espondilose cervical
8,Chicken pox,Catapora
9,Chronic cholestasis,Colestase crônica
10,Common Cold,Constipação comum
11,Dengue,Dengue
12,Diabetes,Diabetes
13,Dimorphic hemmorhoids(piles),Hemorroidas dimórficas
14,Drug Reaction,Reação de drogas
15,Fungal infection,Infecção fúngica
16,GERD,Gerd
17,Gastroenteritis,Gastroenterite
18,Heart attack,Enfarte
19,Hepatitis B,Hepatite B
20,Hepatitis C,Hepatite c
21,Hepatitis D,Hepatite D
22,Hepatitis E,Hepatite e
23,Hypertension,Hipertensão
24,Hyperthyroidism,Hipertiroidismo
25,Hypoglycemia,Hipoglicemia
26,Hypothyroidism,Hipotiroidismo
27,Impetigo,Impetigo
28,Jaundice,Icterícia
29,Malaria,Malária
30,Migraine,Enxaqueca
31,Osteoarthristis,Osteoartrite
32,Paralysis (brain hemorrhage),Paralisia (hemorragia cerebral)
33,Peptic ulcer diseae,Úlcera péptica
34,Pneumonia,Pneumonia
35,Psoriasis,Psoríase
36,Tuberculosis,Tuberculose
37,Typhoid,Febre tifóide
38,Urinary tract infection,Infecção do trato urinário
39,Varicose veins,Varizes
40,abdominal_pain,Dor abdominal
41,acidity,Acidez
42,altered_sensorium,Percepção alterada
43,anxiety,Ansiedade
44,back_pain,Dor nas costas
45,blackheads,Cravos
46,bladder_discomfort,Desconforto na bexiga
47,blister,Bolha
48,bloody_stool,Banquinho sangrento
49,blurred_and_distorted_vision,Visão turva e distorcida
50,breathlessness,Falta de ar
51,bruising,Contundente
52,burning_micturition,Micturição ardente
53,chest_pain,Dor no peito
54,chills,Calafrio
55,cold_hands_and_feets,Mãos e pés frios
56,constipation,Constipação
57,continuous_feel_of_urine,Sensação contínua de urina
58,continuous_sneezing,Espirro contínuo
59,cough,Tosse
60,cramps,Cólicas
61,dark_urine,Urina escura
62,dehydration,Desidratação
63,diarrhoea,Diarreia
64,dischromic _patches,Manchas discâmicas
65,dizziness,Tontura
66,extra_marital_contacts,Contatos extraconjugais
67,fatigue,Fadiga
68,foul_smell_of urine,Cheiro ruim de urina
69,headache,Dor de cabeça
70,hepatitis A,Hepatite a
71,high_fever,Febre alta
72,hip_joint_pain,Dor nas articulações do quadril
73,indigestion,Indigestão
74,itching,Coceira
75,joint_pain,Dor nas articulações
76,knee_pain,Dor no joelho
77,lethargy,Letargia
78,loss_of_appetite,Perda de apetite
79,loss_of_balance,Perda de equilíbrio
80,mood_swings,Humor
81,movement_stiffness,Rigidez do movimento
82,muscle_wasting,Perda muscular
83,muscle_weakness,Fraqueza muscular
84,nausea,Náusea
85,neck_pain,Dor no pescoço
86,nodal_skin_eruptions,Erupções de pele nodal
87,obesity,Obesidade
88,pain_during_bowel_movements,Dor durante os movimentos intestinais
89,pain_in_anal_region,Dor na região anal
90,patches_in_throat,Manchas na garganta
91,pus_filled_pimples,Espinhas cheias de pus
92,red_sore_around_nose,Dor vermelha ao redor do nariz
93,restlessness,Inquietação
94,scurring,Scurring
95,shivering,Tremendo
96,silver_like_dusting,Prata como pó
97,skin_peeling,Descascamento de pele
98,skin_rash,Erupção cutânea
99,spinning_movements,Movimentos de fiação
100,stiff_neck,Torcicolo
101,stomach_pain,Dor de estômago
102,sunken_eyes,Olhos afundados
103,sweating,Transpiração
104,swelling_joints,Articulações inchantes
105,swelling_of_stomach,Inchaço do estômago
106,ulcers_on_tongue,Úlceras na língua
107,vomiting,Vômito
108,watering_from_eyes,Regando dos olhos
109,weakness_in_limbs,Fraqueza nos membros
110,weakness_of_one_body_side,Fraqueza de um lado do corpo
111,weight_gain,Ganho de peso
112,weight_loss,Perda de peso
113,yellowish_skin,Pele amarelada
